Leg District,Precinct,Office & Party,Candidate,Ballot Order
1,BOT 01-0868,Precinct Committee Officer - Republican,Meera Hessami,1
1,BOT 01-0868,Precinct Committee Officer - Republican,Ozzie Bagan,2
45,BRONSON,Precinct Committee Officer - Republican,Tiffany Atwood,1
45,BRONSON,Precinct Committee Officer - Republican,Dale Fonk,2
45,BROOKTRAILS,Precinct Committee Officer - Republican,Dan Farrer,1
45,BROOKTRAILS,Precinct Committee Officer - Republican,Jana Lottinville,2
30,FED 30-3234,Precinct Committee Officer - Republican,Yu Sun,1
30,FED 30-3234,Precinct Committee Officer - Republican,Joan Murphy,2
47,KEN 47-0026,Precinct Committee Officer - Republican,MyAnn Morrow,1
47,KEN 47-0026,Precinct Committee Officer - Republican,Melissa D Ohashi,2
45,KIR 45-0630,Precinct Committee Officer - Republican,Ruth-Fiam Nord,1
45,KIR 45-0630,Precinct Committee Officer - Republican,Grace Wong,2
1,LFP 01-0655,Precinct Committee Officer - Republican,Zhulan Li,1
1,LFP 01-0655,Precinct Committee Officer - Republican,Victoria J Bloom,2
5,M-V 05-3368,Precinct Committee Officer - Republican,Jason Gayler,1
5,M-V 05-3368,Precinct Committee Officer - Republican,Michael Tate,2
41,NEW 41-3529,Precinct Committee Officer - Republican,Mathew Patrick Thomas,1
41,NEW 41-3529,Precinct Committee Officer - Republican,Chinmay Nagarkar,2
48,RED 48-3208,Precinct Committee Officer - Republican,Michael Scheele,1
48,RED 48-3208,Precinct Committee Officer - Republican,Thomas R Caetano,2
11,RNT 11-3929,Precinct Committee Officer - Republican,Linda Mills,1
11,RNT 11-3929,Precinct Committee Officer - Republican,Angie Phillips,2
32,SHL 32-1053,Precinct Committee Officer - Republican,Laura Steinmetz,1
32,SHL 32-1053,Precinct Committee Officer - Republican,Ping Liu,2
5,TWO RIVERS,Precinct Committee Officer - Republican,Michael Bladow,1
5,TWO RIVERS,Precinct Committee Officer - Republican,Paul Michael Mcmahon,2
31,WHITE RIVER,Precinct Committee Officer - Republican,Paul R Fisher,1
31,WHITE RIVER,Precinct Committee Officer - Republican,Nirav Sheth,2
